"Période";"1. Production primaire de gaz naturel (extraction de gaz commercialisé) (en TWh PCS)";"2. Solde importateur de gaz naturel (en TWh PCS)";"2.1 Importations de gaz naturel totales  y compris provenances inconnues (en TWh PCS)";"2.1.1 Importations de gaz naturel de Norvège (en TWh PCS)";"2.1.2 Importations de gaz naturel d'Algérie  (en TWh PCS)";"2.1.3 Importations de gaz naturel de Russie (en TWh PCS)";"2.1.4 Importations de gaz naturel des Pays-Bas (en TWh PCS)";"2.1.5 Importations de gaz naturel du Nigéria (hors swaps, en TWh PCS)";"2.1.6 Importations de gaz naturel du Qatar (en TWh PCS)";"2.1.7 Importations de gaz naturel des Etats-Unis (en TWh PCS)";"3. Variation de stock utile (en TWh PCS)";"4. Consommation totale de gaz naturel (en TWh PCS)";"4.1 Consommation réelle de gaz naturel par les gros clients reliés au réseau de transport (en TWh PCS)";"4.1.1 Livraisons aux centrales à cycle combiné au gaz (CCCG) par GRTgaz (en TWh PCS)";"4.2 Consommation réelle de gaz naturel par les clients reliés au réseau de distribution (en TWh PCS)";"5. Consommation totale de gaz naturel corrigée du climat (en TWh PCS)";"5.1 Consommation sur le réseau de transport CVC-CJO (en TWh PCS)";"5.2 Consommation sur le réseau de distribution CVC-CJO (en TWh PCS)";"6. Consommation totale de gaz naturel CVS-CVC-CJO (en TWh PCS)";"6.1 Consommation sur le réseau de transport CVS-CVC-CJO (en TWh PCS)";"6.2 Consommation sur le réseau de distribution CVS-CVC-CJO (en TWh PCS)";"7. Stocks (gaz gazeux + GNL) utiles fin de mois (en TWh)";"8. Production de biométhane (en TWh PCS)";"9. Degrés jours unifiés mensuels en France, pour la période de chauffe (vaut 0 de juin à septembre, en °C)";"10. Indice de rigueur climatique pour la France métropolitaine (ref.1 pour la période de référence) (sans unité)"
"PERIODE";"PRODRES_GAZ";"QSOLI_GAZ";"QIMP_GAZ";"QIMPNOR_GAZ";"QIMPALG_GAZ";"QIMPRUS_GAZ";"QIMPNL_GAZ";"QIMPNIG_GAZ";"QIMPQAT_GAZ";"QIMPUSA_GAZ";"VSTO_GAZ";"CONSO_GAZ";"LTRAN_GAZ";"LPE_GAZ";"LDIS_GAZ";"CONSO_GAZ_COR1";"CTRAN_GAZ_COR1";"CDIS_GAZ_COR1";"CONSO_GAZ_COR2";"CTRAN_GAZ_COR2";"CDIS_GAZ_COR2";"STO_GAZ";"PRODBIO_GAZ";"DJU";"INDRIG"
"2025-04";1.117;41.645;58.275;14.21;3.435;9.726;0;2.946;0;16.748;-19.717;21.956;8.256;0.457;13.701;29.333;9.971;19.362;32.599;11.402;21.197;60.842;1.094;70.379;0.572
"2025-03";1.141;41.293;54.336;11.283;4.526;7.531;0;1.902;0;22.305;-3.155;37.944;11.095;1.372;26.849;40.351;11.544;28.807;29.072;10.231;18.842;41.669;1.117;183.831;0.907
"2025-02";0.998;28.224;37.416;9.345;3.582;8.132;0;0;0;12.978;18.134;46.082;12.503;2.665;33.58;48.069;12.771;35.298;30.853;10.486;20.367;37.867;0.979;241.424;0.907
"2025-01";1.062;23.778;33.072;6.705;1.923;8.207;0;2.056;0;12.698;31.999;55.65;14.156;2.67;41.493;55.902;14.138;41.763;30.396;10.269;20.127;56.36;1.038;304.418;0.984
"2024-12";1.076;23.99;38.263;11.964;4.963;8.945;0;0.957;0;5.916;26.435;50.099;13.329;2.161;36.77;51.483;13.655;37.828;27.245;9.78;17.465;88.251;1.052;279.594;0.96
"2024-11";1.023;19.517;29.96;7.777;4.373;6.222;0;0;0;8.692;21.415;40.928;13.46;2.653;27.467;43.627;13.982;29.645;31.079;10.735;20.344;114.237;0.998;175.062;0.883
"2024-10";1.04;27.919;39.126;11.113;4.884;8.219;0;1.92;0;9.224;-4.299;23.386;9.903;0.589;13.483;27.154;10.103;17.051;31.26;10.241;21.019;136.033;1.033;45.391;0.548
"2024-09";0.974;20.614;32.49;11.331;2.842;6.668;0;1.784;0;3.517;-3.902;16.63;8.891;0.635;7.74;16.245;8.968;7.277;32.157;10.854;21.303;131.221;0.972;0;1
"2024-08";0.969;31.293;41.842;16.793;4.404;6.213;2.431;0;1.427;2.116;-19.019;12.189;7.359;0.515;4.83;12.468;7.3;5.168;32.318;10.737;21.581;127.932;0.968;0;1
