"Période";"1. Production de pétrole (brut et hydrocarbures extraits du gaz naturel en kt)";"1.1 Production de pétrole brut (en kt)";"1.2 Production d'hydrocarbures extraits du gaz naturel (en kt)";"2. Solde importateur (importations - exportations) tous produits pétroliers (en kt)";"2.1 Importations totales de produits pétroliers (en kt)";"2.1.1 Importations de pétrole brut et condensats (en kt)";"2.1.2 Importations d'autres produits à distiller (APD) (en kt)";"2.1.3 Importations de produits pétroliers raffinés (en kt)";"2.2 Exportations de produits pétroliers raffinés (en kt)";"3. Marché des soutes maritimes (françaises et étrangères) (en kt)";"5. Consommation totale de produits pétroliers nette de l'autoconsommation des raffineries  (en kt)";"5.1 Ventes totales de fioul lourd (FOL) (en kt)";"5.1.1 Ventes de fioul lourd (FOL) à l'industrie (en kt)";"5.1.2 Ventes de fioul lourd (FOL) aux centrales (en kt)";"5.2 Ventes de supercarburants auto (en kt)";"5.2.1 Livraisons de SP95 (en kt)";"5.2.2 Livraisons de SP95-E10 (en kt)";"5.2.3 Livraisons de SP98 (en kt)";"5.3 Ventes de gazole (en kt)";"5.4 Ventes de fioul domestique (FOD) (en kt)";"5.5 Ventes de gazole non routier (en kt)";"5.6 Ventes de carburéacteur (en kt)";"5.7 Ventes de gaz de pétrole liquéfiés (GPL : Butane, Propane, GPL-carburant) (en kt)";"5.8 Ventes de bases pétrochimie (en kt)";"5.9 Autres produits (hors gazole, supercarburants, carburéacteurs, FOD, GnR, GPL, pétrochimie, dont usages non-énergétique, en kt)";"6. Consommation totale de produits pétroliers CVC-CJO (en kt)";"6.2 Ventes de supercarburants auto CVC-CJO (en kt)";"6.3 Ventes de gazole CVC-CJO (en kt)";"6.4 Ventes de fioul domestique (FOD) CVC-CJO (en kt)";"6.5 Ventes de gazole non routier CVC-CJO (en kt)";"6.6 Ventes de carburéacteurs CVC-CJO (en kt)";"6.7 Ventes de gaz de pétrole liquéfiés (GPL : Butane, Propane, GPL-carburant) CVC-CJO (en kt)";"6.9 Autres produits (hors gazole, supercarburants, carburéacteurs, FOD, GnR, GPL, pétrochimie, dont usages non-énergétique) CVC-CJO (en kt)";"7. Consommation totale de produits pétroliers CVS-CVC-CJO (en kt)";"7.2 Ventes de supercarburants auto CVS-CVC-CJO (en kt)";"7.3 Ventes de gazole CVS-CVC-CJO (en kt)";"7.4 Ventes de fioul domestique (FOD) CVS-CVC-CJO (en kt)";"7.5 Ventes de gazole non routier CVS-CVC-CJO (en kt)";"7.6 Ventes de carburéacteurs CVS-CVC-CJO (en kt)";"7.7 Ventes de gaz de pétrole liquéfiés (GPL : Butane, Propane, GPL-carburant) CVS-CVC-CJO (en kt)";"7.9 Autres produits (hors gazole, supercarburants, carburéacteurs, FOD, GnR, GPL, pétrochimie, dont usages non-énergétique) CVS-CVC-CJO (en kt)";"8. Ventes de produits à usage non énergétique, y compris bases pétrochimie (en kt)";"9. Consommation de carburants routiers (en kt)";"10. Degrés jours unifiés mensuels en France, pour la période de chauffe (vaut 0 de juin à septembre, en °C)";"11. Indice de rigueur climatique pour la France métropolitaine (ref.1 pour la période de référence) (sans unité)"
"PERIODE";"PROD_BRUT";"PROD_BRUT2";"PROD_BRUT3";"QSOLI_PETRO";"QIMP_PETRO";"QIMP_BRUT1";"QIMP_APD";"QIMP_RAFF";"QEXP_PETRO";"SOUTESMAR";"CONSO_PETRO";"VFOL_RAFF";"VINDFOL_RAFF";"VPEFOL_RAFF";"VSUPERC_RAFF";"LSP95_RAFF";"LSP95E10_RAFF";"LSP98_RAFF";"VGAZOL_RAFF";"VFOD_RAFF";"VGNR_RAFF";"VCARBU_RAFF";"VGPL_RAFF";"VBPETROCH_RAFF";"VAUTRE_RAFF";"CONSO_PETRO_COR1";"VSUPERC_RAFF_COR1";"VGAZOL_RAFF_COR1";"VFOD_RAFF_COR1";"VGNR_RAFF_COR1";"VCARBU_RAFF_COR1";"VGPL_RAFF_COR1";"VAUTRE_RAFF_COR1";"CONSO_PETRO_COR2";"VSUPERC_RAFF_COR2";"VGAZOL_RAFF_COR2";"VFOD_RAFF_COR2";"VGNR_RAFF_COR2";"VCARBU_RAFF_COR2";"VGPL_RAFF_COR2";"VAUTRE_RAFF_COR2";"VNONENER_RAFF";"CCARBR_RAFF";"DJU";"INDRIG"
"2025-04";42.665;42.665;0;;;;;;;68.349;5749.466;32.969;4.788;1.365;1054.196;;605.2;;2405.741;323.291;460.038;630.742;119.866;439.427;316.164;5679.62;1041.063;2353.335;341.31;452.456;632.099;117.688;307.983;5791.935;1034.05;2336.083;442.79;420.794;645.467;125.164;327.604;624.882;3459.938;70.379;0.572
"2025-03";43.091;43.091;0;5403.024;6662.685;3749.079;0;2922.682;1268.737;85.883;5509.226;53.154;4.788;1.718;935.497;;545.795;;2263.278;363.486;390.948;581.517;145.258;493.005;336.237;5716.605;961.764;2368.091;394.065;406.112;578.803;150.684;352.6;5663.589;992.638;2290.275;358.757;420.562;623.982;127.201;397.517;678.46;3198.775;183.831;0.907
"2025-02";41.078;41.078;0;4587.233;5785.154;3216.814;0;2631.102;1260.682;91.308;5132.013;55.268;6.465;2.001;872.154;;514.046;;2150.838;423.874;288.272;507.117;170.166;429.395;290.197;5191.815;876.074;2176.603;435.786;286.449;509.413;172.082;305.285;5711.901;1004.303;2393.321;343.953;389.572;604.489;132.529;407.357;582.566;3022.992;241.424;0.907
"2025-01";41.078;41.078;0;5263.326;6606.307;3936.274;0;2678.817;1351.766;100.684;5393.218;48.048;4.944;1.891;934.878;;549.824;;2252.008;508.784;274.842;552;182.105;499.324;189.277;5249.186;915.178;2173.398;498.223;263.469;554.035;177.164;177.005;5563.903;994.944;2326.907;356.766;390.882;612.965;132.836;294.969;594.145;3186.886;304.418;0.984
"2024-12";44.742;44.742;0;5365.861;6783.61;4199.855;0;2646.502;1480.496;89.882;5312.068;41.954;7.377;2.881;998.078;;589.889;;2348.909;324.411;273.12;567.066;171.983;397.992;230.509;5338.808;1001.361;2362.011;328.939;275.015;566.727;172.773;232.554;5454.71;998.239;2318.339;258.062;387.711;595.307;131.926;314.268;514.992;3346.987;279.594;0.96
"2024-11";43.261;43.261;0;5244.994;6594.615;3790.413;0;2827.976;1373.395;96.689;5160.878;45.506;7.468;2.35;898.879;;522.593;;2224.979;264.419;404.517;510.175;157.691;410.201;290.017;5247.143;908.729;2264.284;284.235;410.203;509.157;159.875;296.153;5507.1;983.248;2332.432;284.122;425.406;577.455;141.927;297.456;595.114;3123.858;175.062;0.883
"2024-10";45.022;45.022;0;6218.448;7467.114;4294.637;0;3235.259;1311.448;118.66;6043.828;63.876;8.207;2.471;1012.452;;586.912;;2579.289;362.286;503.325;611.707;153.346;458.549;362.874;5944.397;992.752;2500.679;395.546;491.952;613.742;149.185;350.602;5540.375;979.971;2332.862;336.464;402.293;588.292;136.224;283.373;682.17;3591.741;45.391;0.548
"2024-09";44.294;44.294;0;5911.495;6934.477;3710.873;0;3223.604;1022.982;105.298;5723.615;31.858;7.727;3.814;957.334;;544.531;;2321.573;514.122;452.856;620.005;104.457;406.273;346.995;5739.482;967.184;2360.878;464.277;458.542;618.987;105.904;353.131;5541.517;958.629;2339.099;387.96;389.47;589.012;133.563;298.689;672.24;3278.907;0;1
"2024-08";45.641;45.641;0;5541.055;6898.397;3895.807;0;3024.963;1379.715;110.682;5741.972;52.122;9.644;5.59;1081.184;;618.841;;2270.948;384.598;424.132;701.127;90.515;515.491;273.977;5772.222;1084.467;2284.05;393.011;426.027;700.788;90.931;276.022;5750.529;985.281;2382.214;500.773;419.346;592.983;130.634;275.271;693.785;3352.132;0;1
"2024-07";46.373;46.373;0;5728.006;7078.586;4117.151;0;3017.466;1406.61;118.986;6289.575;71.691;16.859;6.466;1126.046;;641.08;;2642.505;263.666;554.361;688.247;102.59;504.981;407.179;6165.85;1106.346;2563.895;271.255;542.988;690.282;99.807;394.907;5662.104;984.225;2364.091;395.106;428.237;589.926;139.093;305.749;796.561;3768.551;0;1
"2024-06";46.258;46.258;0;5502.729;6712.141;3725.363;0;3008.919;1231.553;106.577;5727.8;55.469;7.369;2.777;946.327;;533.626;;2346.982;296.199;425.274;627.016;97.289;519.944;468.769;5958.886;979.16;2477.998;308.504;444.229;623.624;101.853;489.222;5796.693;943.499;2402.434;467.945;398.195;595.519;141.031;341.24;843.372;3293.309;0;1
"2024-05";48.008;48.008;0;5656.853;6876.238;3509.954;0;3422.318;1275.419;111.711;5549.739;38.492;8.885;1.852;996.539;;565.5;;2382.82;256.293;390.419;586.684;108.68;481.467;346.837;5430.035;976.839;2304.21;268.068;379.046;588.719;105.731;334.565;5605.738;950.834;2369.42;400.397;367.625;570.712;136.479;325.077;716.708;3379.359;30.001;0.604
"2024-04";46.062;46.062;0;5685.925;6796.727;3227.046;0;3569.681;1110.802;94.844;5725.379;52.851;9.414;1.845;962.682;;548.8;;2478.734;289.703;435.861;577.262;126.568;528.706;325.863;5636.967;949.549;2426.328;289.277;428.279;578.619;124.268;317.682;5750.854;944.737;2413.829;374.478;398.959;596.372;131.435;338.62;735.016;3441.416;109.595;0.891
"2024-03";47.768;47.768;0;5827.01;7032.828;3707.965;0;3324.863;1205.818;97.739;5534.215;40.11;11.866;1.861;904.65;;515.121;;2405.078;339.76;325.995;546.013;145.91;619.25;247.559;5765.967;930.917;2509.891;394.686;341.159;543.299;151.361;263.922;5710.178;962.92;2435.408;354.534;350.638;588.965;127.905;309.276;776.748;3309.728;156.593;0.773
"2024-02";43.791;43.791;0;4744.027;6095.876;3375.99;0;2719.886;1351.849;85.666;5223.04;38.233;18.324;2.825;823.492;;475.128;;2278.534;378.399;272.214;488.316;167.413;550.031;264.641;5122.385;805.166;2175.037;465.516;273.891;482.107;160.405;215.286;5629.875;932.37;2390.807;360.681;374.132;575.85;123.33;323.387;686.338;3102.026;172.598;0.648
"2024-01";47.948;47.948;0;5350.175;6280.32;2935.611;0;3344.709;930.145;99.814;5452.712;56.4;19.318;3.344;862.392;;505.525;;2327.429;549.47;263.902;496.87;177.339;553.088;222.222;5314.826;842.692;2248.819;544.926;252.529;498.905;172.527;209.95;5609.368;920.671;2397.042;390.25;377.224;556.378;129.058;328.231;641.949;3189.821;299.789;0.969
"2023-12";49.329;49.329;0;5203.943;6798.493;4353.617;0;2444.876;1594.549;99.116;5401.318;48.32;10.066;0;897.299;;522.23;;2374.659;445.102;313.516;565.258;156.613;418.993;229.878;5622.29;923.566;2479.472;488.85;328.68;562.544;162.463;246.241;5696.362;921.599;2435.592;380.972;444.03;589.962;123.539;329.672;522.069;3271.958;229.325;0.787
"2023-11";46.8;46.8;0;5396.023;6566.666;3692.915;0;2951.996;1248.889;90.16;5467.182;66.312;10.3;6;833.624;;483.4;;2406.458;370.126;335.966;504.565;139.418;554.091;322.934;5397.445;820.491;2354.052;388.61;328.384;505.922;136.885;314.753;5666.519;893.165;2425.138;389.181;342.666;572.611;121.757;315.921;758.291;3240.082;169.593;0.855
"2023-10";48.609;48.609;0;5565.566;6891.739;3895.385;0;2996.354;1326.173;112.198;6000.425;63.205;14;6;930.795;;521.9;;2563.913;414.066;469.46;602.333;138.515;556.086;325.257;6087.641;934.078;2577.015;479.224;471.355;601.994;139.151;327.302;5648.412;921.62;2405.603;412.393;380.955;575.327;126.267;252.06;772.986;3494.708;39.819;0.481
"2023-09";47.751;47.751;0;5765.475;6978.299;4160.352;0;2890.115;1284.992;112.613;5661.98;56.73;13.8;6;914.367;;506.7;;2413.095;293.724;443.94;581.21;104.02;553.972;357.652;5826.274;924.217;2452.4;392.312;449.626;580.192;105.461;363.788;5630.518;916.623;2433.995;329.841;380.564;548.032;133.814;307.354;789.472;3327.462;0;1
"2023-08";50.597;50.597;0;5690.087;7102.291;4265.262;0;2837.029;1412.205;103.615;5801.018;69.387;9;0;1013.712;;561.7;;2392.712;288.167;388.795;666.27;98.472;576.373;376.517;5661.092;994.012;2314.102;279.443;377.422;668.305;95.8;364.245;5621.996;894.788;2409.278;358.632;374.036;559.438;138.067;357.498;775.373;3406.424;0;1
"2023-07";49.537;49.537;0;6675.612;7632.92;4381.631;0;3344.688;1050.707;111.882;5932.285;81.648;9.5;6;981.291;;545.9;;2532.602;254.826;482.725;655.199;91.082;552.966;381.594;6139.859;1007.558;2637.415;287.623;497.889;652.485;94.484;397.957;5647.71;885.145;2434.055;427.002;387.004;553.723;132.29;302.715;774.566;3513.893;0;1
