"Période";"1. Production des combustibles minéraux solides (en kt)";"2. Importations totales des combustibles minéraux solides (en kt)";"3. Exportations totales des combustibles minéraux solides (en kt)";"4. Variation de stocks des combustibles minéraux solides (en kt)";"5. Consommation totale des combustibles minéraux solides (en kt)";"5.1 Consommation des combustibles minéraux solides pour la production d'électricité (en kt)";"5.2 Consommation des combustibles minéraux solides par les cokeries, usines d'agglomération et autres transformations (en kt)";"5.3 Consommation des combustibles minéraux solides par la sidérurgie (y c. centrales électriques intégrées) (en kt)";"5.4 Livraisons des combustibles minéraux solides à l'industrie (hors sidérurgie. y c. centrales électriques intégrées) (en kt)";"5.5 Livraisons réelles des combustibles minéraux solides au secteur résidentiel-tertiaire (en kt)";"6. Consommation des combustibles minéraux solides CVC-CJO (en kt)";"6.1 Consommation des combustibles minéraux solides pour la production d'électricité CVC-CJO (en kt)";"6.2 Consommation des combustibles minéraux solides par la sidérurgie (y c. centrales électriques intégrées) CVC-CJO (en kt)";"7. Consommation des combustibles minéraux solides CVS-CVC-CJO (en kt)";"7.1 Consommation des combustibles minéraux solides pour la production d'électricité CVS-CVC-CJO (en kt)";"7.2 Consommation des combustibles minéraux solides par la sidérurgie (y c. centrales électriques intégrées) CVS-CVC-CJO (en kt)";"8. Stocks des combustibles minéraux solides en fin de mois (en kt)";"9. Degrés jours unifiés mensuels en France, pour la période de chauffe (vaut 0 de juin à septembre, en °C)";"10. Indice de rigueur climatique pour la France métropolitaine (ref.1 pour la période de référence) (sans unité)"
"PERIODE";"PROD_CMS";"QIMP_CMS";"QEXP_CMS";"VSTO_CMS";"CI_CMS";"CPE_CMS";"CAT_CMS";"CSID_CMS";"LIND_CMS";"LRT_CMS";"CI_CMS_COR1";"CPE_CMS_COR1";"CSID_CMS_COR1";"CI_CMS_COR2";"CPE_CMS_COR2";"CSID_CMS_COR2";"ST_CMS";"DJU";"INDRIG"
"2025-04";0;383.981;24.112;-115.355;475.223;"secret";"secret";271.288;84.549;"secret";476.429;16.74;269.873;529.508;32.991;306.702;1989.305;70.379;0.572
"2025-03";0;456.488;3.504;-11.825;559.459;"secret";"secret";363.994;83.3;"secret";565.225;16.196;366.824;574.269;19.689;372.374;2104.659;183.831;0.907
"2025-02";0;594.98;3.285;-12.477;559.255;51.54817;"secret";329.898;84.651;"secret";564.666;52.327;334.529;548.803;30.126;340.868;2116.484;241.424;0.907
"2025-01";0;545.813;17.542;48.693;655.186;89.03125;"secret";379.328;86.903;"secret";652.715;88.683;377.205;579.413;39.728;352.859;2128.961;304.418;0.984
"2024-12";0;194.844;10.097;-325.299;597.122;"secret";"secret";338.716;99.63;"secret";599.596;64.437;339.07;566.181;34.862;335.23;2080.268;279.594;0.96
"2024-11";0;521.668;91.726;-63.398;718.169;"secret";"secret";374.608;101.122;"secret";729.261;84.513;375.669;672.036;47.738;355.22;2405.567;175.062;0.883
"2024-10";0;527.497;52.979;63.352;619.511;"secret";"secret";351.346;102.718;"secret";623.463;26.265;349.223;618.447;30.478;339.993;2468.965;45.391;0.548
"2024-09";0;443.17;1.244;-126.841;567.786;49.3093383516399;"secret";319.358;102.924;"secret";568.838;49.3;320.419;605.808;73.479;333.21;2405.612;0;1
"2024-08";0;494.393;42.606;-23.908;614.024;"secret";"secret";369.618;101.2;"secret";609.12;8.74;369.972;590.008;23.02;336.579;2532.454;0;1
"2024-07";0;479.44;8.921;-112.732;582.672;"secret";"secret";368.279;101.42;"secret";576.601;8.866;366.157;592.148;24.749;365.821;2556.362;0;1
"2024-06";0;575.382;36.019;194.967;515.454;"secret";"secret";303.505;101.651;"secret";519.667;10.748;307.042;569.826;27.261;340.688;2669.094;0;1
"2024-05";0;402.853;0.618;-119.817;603.623;"secret";"secret";389.862;102.07;"secret";601.185;10.194;387.739;612.073;23.926;384.895;2474.127;30.001;0.604
"2024-04";0;575.671;20.808;71.171;556.909;"secret";"secret";310.064;101.829;"secret";555.872;13.213;308.649;604.97;24.975;345.985;2593.944;109.595;0.891
"2024-03";0;318.137;37.221;5.303;565.509;"secret";"secret";324.359;102.136;"secret";576.841;22.068;327.189;583.729;25.579;330.566;2522.773;156.593;0.773
"2024-02";0;494.284;1.273;22.788;579.65;51.35136748;"secret";327.169;100.947;"secret";584.249;70.551;312.568;559.511;40.67;317.712;2517.47;172.598;0.648
"2024-01";0;614.768;1.255;-100.884;640.053;71.695842;"secret";366.883;100.791;"secret";639.995;73.761;364.761;575.418;33.437;340.508;2494.682;299.789;0.969
"2023-12";0;290.105;22.688;64.625;601.885;47.4476113516874;"secret";342.111;83.725;"secret";615.863;58.596;344.941;583.563;32.325;338.912;2595.566;229.325;0.787
"2023-11";0;400.993;0.606;-148.574;605.904;42.6314230861055;"secret";375.368;83.581;"secret";609.723;47.865;373.953;570.678;28.195;354.578;2530.94;169.593;0.855
"2023-10";0;498.541;0.879;-69.737;603.144;21.4667941599852;"secret";398.262;84.893;"secret";612.557;30.526;398.616;609.923;34.482;392.026;2679.514;39.819;0.481
"2023-09";0;642.255;2.43;23.797;542.068;21.8169344801983;"secret";335.666;84.531;"secret";544.359;23.046;336.728;570.291;34.501;351.205;2749.252;0;1
"2023-08";0;358.53;22.679;-84.209;651.958;33.5961821253238;"secret";396.388;84.951;"secret";647.292;31.053;394.266;664.519;78.697;363.849;2725.455;0;1
"2023-07";0;529.035;19.068;-57.912;571.437;40.9017902243527;"secret";331.433;85.436;"secret";561.128;27.763;334.263;609.008;72.929;336.977;2809.664;0;1
"2023-06";0;528.952;1.528;54.083;509.483;33.5023003522069;"secret";274.309;84.747;"secret";503.385;28.82;272.894;575.028;70.896;302.461;2867.575;0;1
"2023-05";0;577.215;19.226;22.228;549.61;39.3244419933677;"secret";288.342;88.86;"secret";546.297;38.134;286.219;587.682;83.026;282.712;2813.492;31.752;0.639
"2023-04";0;863.766;19.825;24.328;528.976;40.6814549311044;"secret";292.263;83.504;"secret";533.632;41.801;295.8;600.001;73.858;330.112;2791.264;131.37;1.067
