"Période";"1. Production primaire toutes énergies (en GWh)";"1.1 Production de combustibles minéraux solides (en GWh)";"1.2 Production de pétrole (en GWh)";"1.3 Production de gaz naturel (extraction de gaz commercialisé) (en GWh)";"1.4 Production nucléaire (équivalent primaire à la production, sous forme de chaleur) (en GWh)";"1.5 Production (brute) d'électricité hydraulique, éolienne et photovoltaïque (en GWh)";"2.1 Importations toutes énergies (en GWh)";"2.1.1 Importations de combustibles minéraux solides (en GWh)";"2.1.2 Importations de tous produits pétroliers (en GWh)";"2.1.2.1 Importations de pétrole brut, condensats et autres produits à distiller (en GWh)";"2.1.2.2 Importations de produits pétroliers raffinés (en GWh)";"2.1.3 Importations de gaz naturel (en GWh)";"2.1.4 Importations d'électricité (en GWh)";"2.2 Exportations toutes énergies (en GWh)";"2.2.1 Exportation de combustibles minéraux solides (en GWh)";"2.2.2 Exportations de produits pétroliers raffinés (en GWh)";"2.2.3 Exportations de gaz naturel (en GWh)";"2.2.4 Exportations d'électricité (en GWh)";"3. Marché des soutes maritimes (françaises et étrangères) (en GWh)";"4. Consommation primaire réelle toutes énergies (en GWh)";"4.1 Consommation réelle de combustibles minéraux solides (en GWh)";"4.2 Consommation réelle de pétrole (brut et raffiné) (en GWh)";"4.3 Consommation réelle de gaz naturel (en GWh)";"4.4 Consommation primaire d'énergie nucléaire, hydraulique, éolienne et photovoltaïque brute (en GWh)";"5. Emissions brutes de CO2 totales dues à la consommation d'énergie (en ktCO2)";"6. Consommation primaire CVC-CJO toutes énergies (en GWh)";"6.1 Consommation de combustibles minéraux solides CVC-CJO (en GWh)";"6.2 Consommation de pétrole (brut et raffiné) CVC-CJO (en GWh)";"6.3 Consommation de gaz naturel CVC-CJO (en GWh)";"6.4 Consommation d'électricité primaire et d'équivalent primaire d'électricité nucléaire CVC-CJO (en GWh)";"7. Emissions de CO2 totales dues à la consommation d'énergie CVC-CJO (en ktCO2)";"8. Consommation primaire CVS-CVC-CJO toutes énergies (en GWh)";"8.1 Consommation de combustibles minéraux solides CVS-CVC-CJO (en GWh)";"8.2 Consommation de pétrole (brut et raffiné) CVS-CVC-CJO (en GWh)";"8.3 Consommation de gaz naturel CVS-CVC-CJO (en GWh)";"8.4 Consommation d'électricité primaire et d'équivalent primaire d'électricité nucléaire CVS-CVC-CJO (en GWh)";"9. Emissions de CO2 totales dues à la consommation d'énergie CVS-CVC-CJO (en ktCO2)";"10. Taux d'indépendance énergétique réel toutes énergies (en %)";"11. Degrés jours unifiés mensuels en France, pour la période de chauffe (vaut 0 de juin à septembre, en °C)";"12. Indice de rigueur climatique pour la France métropolitaine (ref.1 pour la période de référence) (sans unité)"
"PERIODE";"PROD_ENER_SYNT";"PROD_CMS_SYNT";"PROD_PETRO_SYNT";"PROD_GAZ_SYNT";"PRODB_NUCL_SYNT";"PRODB_ELE_SYNT";"QIMP_ENER_SYNT";"QIMP_CMS_SYNT";"QIMP_PETRO_SYNT";"QIMP_BRUT_SYNT";"QIMP_RAFF_SYNT";"QIMP_GAZ_SYNT";"QIMP_ELE_SYNT";"QEXP_ENER_SYNT";"QEXP_CMS_SYNT";"QEXP_RAFF";"QEXP_GAZ_SYNT";"QEXP_ELE_SYNT";"SOUTESMAR";"CP_ENER_SYNT";"CI_CMS_SYNT";"CONSO_PETRO_SYNT";"CONSO_GAZ_SYNT";"CONSO_ELE_SYNT";"ECO2";"CP_ENER_SYNT_COR1";"CI_CMS_SYNT_COR1";"CONSO_PETRO_COR1_SYNT";"CONSO_GAZ_SYNT_COR1";"CONSO_ELE_SYNT_COR1";"ECO2_COR1";"CP_ENER_SYNT_COR2";"CI_CMS_SYNT_COR2";"CONSO_PETRO_COR2_SYNT";"CONSO_GAZ_SYNT_COR2";"CONSO_ELE_SYNT_COR2";"ECO2_COR2";"TAUXIND_ENER_CUM";"DJU";"INDRIG"
"2025-04";99955.484;0;496.194;999.884;86457.627;12001.779;;2803.86;;;;37293.954;1603.247;;179.414;;673.647;7938.745;68.349;182098.587;3446.35;66866.293;19662.036;92123.908;21074.47;190166.537;3455.093;66053.979;26268.105;94389.359;22206.288;200543.8;3840.028;67360.203;29192.516;100151.054;23286.785;56.112;70.379;0.572
"2025-03";116720.527;0;501.148;1021.794;102803.552;12394.032;119873.778;3337.545;77592.576;43601.789;33990.787;36978.501;1965.157;23674.832;29.019;1268.737;828.409;8061.994;85.883;211250.377;4098.441;64072.302;33978.887;109100.747;23314.617;216731.524;4140.688;66484.121;36134.932;109971.784;24409.402;198715.325;4206.941;65867.538;26034.621;102606.226;22213.706;55.989;183.831;0.907
"2025-02";114974.071;0;477.737;893.741;101542.841;12059.752;99593.762;4346.897;68011.261;37411.547;30599.714;25275.123;1960.481;22295.828;27.12;1260.682;693.832;6913.14;91.308;213668.744;4066.263;59685.311;41267.235;108649.934;23917.149;217412.685;4105.602;60380.808;43046.042;109880.233;24478.098;198313.522;3990.27;66429.406;27629.354;100264.492;22906.054;55.899;241.424;0.907
"2025-01";138740.332;0;477.737;951.035;123003.734;14307.826;103998.186;3950.515;76933.512;45778.867;31154.645;21293.117;1821.042;25585.282;126.532;1351.766;1138.542;8599.174;100.684;247863.83;4772.583;62723.125;49834.694;130533.427;26685.868;246691.488;4754.586;61048.028;50060.515;130828.36;26280.304;200445.09;4220.631;64708.187;27219.871;104296.401;22412.356;55.992;304.418;0.984
"2024-12";131245.49;0;520.349;963.505;116472.013;13289.623;104014.114;1428.136;79623.136;48844.314;30778.822;21483.066;1479.777;27475.842;73;1480.496;1962.967;8221.704;89.882;234000.89;4337.506;61779.349;44864.328;123019.708;25511.841;235894.974;4355.476;62090.34;46103.727;123345.432;25853.172;197640.114;4112.748;63438.282;24397.92;105691.164;21706.45;55.753;279.594;0.96
"2024-11";117109.392;0;503.125;915.907;104971.445;10718.914;99066.4;3786.64;76971.86;44082.503;32889.357;17477.649;830.25;26081.575;669.727;1373.395;1119.068;8320.195;96.689;210119.72;5247.115;60021.011;36651.179;108200.414;23452.195;214589.469;5328.154;61024.273;39068.352;109168.691;24239.816;203096.438;4910.059;64047.573;27831.133;106307.672;22605.862;55.462;175.062;0.883
"2024-10";108708.39;0;523.606;931.212;95562.082;11691.489;117136.767;3844.475;87572.692;49946.628;37626.063;25002.074;717.527;25407.496;384.587;1311.448;898.399;8872.372;118.66;194877.395;4546.128;70289.722;20942.818;99098.727;22462.693;199113.403;4575.13;69133.337;24317.008;101087.928;22852.6;200828.449;4538.318;64434.556;27993.696;103861.878;22339.249;55.088;45.391;0.548
"2024-09";99671.877;0;515.139;871.782;87740.337;10544.619;102971.859;3221.184;80647.97;43157.453;37490.517;18460.128;642.576;22090.715;9.071;1022.982;1718.791;8465.568;105.298;176042.042;4121.763;66565.645;14892.669;90461.964;20120.146;176010.67;4129.397;66750.179;14547.18;90583.914;20101.601;199813.016;4397.777;64447.844;28796.796;102170.599;22486.438;54.941;0;1
"2024-08";102637.108;0;530.805;867.596;91543.337;9695.37;113096.776;3593.245;80488.554;45308.235;35180.318;28023.55;991.427;27068.726;321.243;1379.715;1559.418;9141.984;110.682;175234.918;4452.19;66779.133;10915.446;93088.15;19419.505;174685.876;4416.633;67130.947;11165.027;91973.269;19551.005;204231.449;4278.051;66878.65;28940.996;104133.752;23052.059;54.841;0;1
