"Période";"1. Production de gaz naturel (extraction de gaz commercialisé) (en GWh)";"2. Solde importateur (importations - exportations) de gaz naturel (en GWh)";"3. Consommation réelle de gaz naturel (en GWh)";"4. Consommation de gaz naturel CVC-CJO (en GWh)";"5. Consommation de gaz naturel CVS-CVC-CJO (en GWh)";"6. Degrés jours unifiés mensuels en France, pour la période de chauffe (vaut 0 de juin à septembre, en °C)";"7. Indice de rigueur climatique pour la France métropolitaine (ref.1 pour la période de référence) (sans unité)"
"PERIODE";"PROD_GAZ_SYNT";"QSOLI_GAZ_SYNT";"CONSO_GAZ_SYNT";"CONSO_GAZ_SYNT_COR1";"CONSO_GAZ_SYNT_COR2";"DJU";"INDRIG"
"2025-04";999.884;37480.942;19662.036;26268.105;29192.516;70.379;0.572
"2025-03";1021.794;37163.907;33978.887;36134.932;26034.621;183.831;0.907
"2025-02";893.741;25401.85;41267.235;43046.042;27629.354;241.424;0.907
"2025-01";951.035;21399.879;49834.694;50060.515;27219.871;304.418;0.984
"2024-12";963.505;21590.78;44864.328;46103.727;24397.92;279.594;0.96
"2024-11";915.907;17565.281;36651.179;39068.352;27831.133;175.062;0.883
"2024-10";931.212;25127.432;20942.818;24317.008;27993.696;45.391;0.548
"2024-09";871.782;18552.686;14892.669;14547.18;28796.796;0;1
"2024-08";867.596;28164.057;10915.446;11165.027;28940.996;0;1
"2024-07";877.661;24744.432;12710.429;12550.529;28796.998;0;1
"2024-06";852.35;23974.543;13412.709;13652.234;28944.71;0;1
"2024-05";876.343;27906.671;16485.771;18838.881;30329.173;30.001;0.604
"2024-04";858.697;35722.241;23666.237;25310.287;28404.613;109.595;0.891
"2024-03";873.061;25912.722;33667.082;39248.411;29081.747;156.593;0.773
"2024-02";804.532;17818.908;36179.92;44589.132;28894.112;172.598;0.648
"2024-01";823.853;22282.762;51370.225;52089.092;28842.172;299.789;0.969
"2023-12";823.896;28916.079;43423.212;50904.193;28900.956;229.325;0.787
"2023-11";763.994;32796.374;36592.13;39341.157;27862.635;169.593;0.855
"2023-10";774.875;27829.443;20242.151;24483.224;28340.675;39.819;0.481
"2023-09";712.036;18658.1;14424.918;15580.429;30025.762;0;1
"2023-08";699.128;30830.874;13108.311;12913.81;30980.101;0;1
"2023-07";685.775;33175.247;14255.058;14612.801;31135.746;0;1
"2023-06";655.991;26378.933;14755.958;16105.782;31677.231;0;1
"2023-05";670.658;34968.676;17426.756;19526.621;31198.853;31.752;0.639
"2023-04";666.03;39167.842;27790.818;27181.532;30494.68;131.37;1.067
"2023-03";670.844;22459.509;39028.87;41910.994;31660.69;174.066;0.859
"2023-02";600.958;18170.349;45318.325;47043.871;30931.281;241.912;0.909
"2023-01";640.445;26474.288;50005.378;52613.321;28726.548;284.407;0.92
"2022-12";643.504;36250.13;50955.448;51887.349;29396.446;282.175;0.969
"2022-11";600.217;33924.542;36381.573;41685.223;29943.109;145.619;0.734
"2022-10";607.108;27587.594;23400.723;30321.544;34332.513;17.847;0.215
"2022-09";565.246;26918.973;19697.257;18975.816;33727.102;0;1
"2022-08";544.087;30729.375;15562.08;15570.296;34037.971;0;1
"2022-07";532.227;37573.049;17118.995;17485.174;34309.971;0;1
"2022-06";488.93;29728.68;17090.107;18251.927;34195.191;0;1
"2022-05";523.152;43042.795;20233.866;24199.374;36201.734;20.589;0.414
"2022-04";512.769;43812.127;32071.951;32326.19;35798.276;122.562;0.996
"2022-03";520.164;44957.287;42392.451;45204.644;34897.354;174.623;0.862
"2022-02";442.74;30863.961;45348.396;50602.351;34080.096;209.554;0.787
"2022-01";472.199;34614.757;61053.741;59724.151;35158.124;323.736;1.047
"2021-12";464.759;35680.178;55796.278;59014.632;36042.083;260.883;0.896
"2021-11";427.161;29758.079;50894.33;46553.6;34459.056;236.128;1.19
"2021-10";410.763;33167.84;29761.621;29498.485;33460.173;82.836;1
"2021-09";360.975;28355.012;17650.755;18265.377;33268.315;0;1
"2021-08";355.749;35235.831;13969.124;13946.357;32828.795;0;1
"2021-07";342.034;34963.485;16216.033;16282.983;33417.595;0;1
"2021-06";305.448;31501.974;17105.574;18131.626;34572.361;0;1
"2021-05";320.7;43164.028;26323.699;21843.509;34291.981;80.715;1.624
"2021-04";302.405;38550.423;36663.221;30653.787;34287.908;170.082;1.382
"2021-03";305.349;43748.263;47131.239;45316.844;34915.097;211.414;1.043
"2021-02";250.553;27770.985;48160.938;53161.544;36266.125;211.878;0.796
"2021-01";270.392;32067.829;62809.238;60611.511;35511.268;331.887;1.073
"2020-12";262.677;31541.961;54549.172;57332.937;33916.17;264.529;0.908
"2020-11";232.553;33300.299;43837.822;48433.547;35842.484;154.617;0.78
"2020-10";214.199;36315.064;34313.529;33224.041;36952.897;88.042;1.063
"2020-09";169.381;24030.772;20677.267;20603.805;35799.94;0;1
"2020-08";170.565;28521.243;16497.512;16852.301;36242.584;0;1
"2020-07";170.733;25820.193;18530.295;18366.945;35837.623;0;1
"2020-06";162.063;30393.345;19277.864;19355.033;36320.277;0;1
"2020-05";166.689;44376.629;19922.374;21758.256;34686.211;37.047;0.745
"2020-04";161.06;46086.314;21388.563;29353.077;32988.457;59.643;0.485
"2020-03";162.004;35070.69;43957.515;44234.285;33671.37;196.78;0.971
"2020-02";141.437;25570.224;46768.672;54412.86;37230.925;181.916;0.683
"2020-01";144.302;23470.386;58305.58;63142.382;37705.768;261.123;0.844
"2019-12";141.767;45008.006;53663.806;59779.482;36536.947;237.212;0.815
"2019-11";124.2;45360.339;50705.944;49667.044;36438.231;208.024;1.049
"2019-10";122.7;32634.036;30182.709;32799.704;36651.113;51.61;0.623
"2019-09";114.712;25573.008;20185.009;20770.514;36158.207;0;1
"2019-08";101.256;33602.53;16157.965;16324.825;36241.237;0;1
"2019-07";92.323;34998.005;19001.858;18882.406;36864.042;0;1
"2019-06";93.822;36025.815;18430.567;18870.149;36599.905;0;1
"2019-05";101.793;42165.481;27195.356;24093.285;37270.945;71.886;1.447
"2019-04";100.943;48449.55;33021.755;32832.669;36259.429;125.96;1.024
"2019-03";102.091;45187.992;43754.995;47132.355;35822.14;173.392;0.856
"2019-02";89.601;31852.072;50038.158;55063.288;37361.948;211.38;0.794
"2019-01";85.931;34558.202;66486.402;62973.649;37008.383;339.289;1.097
"2018-12";81.529;37690.72;54317.722;60000.294;36230.368;244.094;0.838
"2018-11";67.587;41285.52;49876.313;51113.85;37252.169;188.993;0.953
"2018-10";74.697;37755.525;31473.722;32285.731;36175.168;77.485;0.936
"2018-09";65.033;34720.137;19403.286;20061.02;35724.365;0;1
"2018-08";62.211;36499.686;16345.485;16245.733;36827.197;0;1
"2018-07";57.78;39802.304;17773.32;17842.087;36483.801;0;1
"2018-06";57.839;34776.715;16270.406;17476.933;35724.297;0;1
"2018-05";56.642;38794.584;19698.188;21384.683;34755.152;38.793;0.781
"2018-04";54.208;36163.584;26947.653;33740.461;36979.117;74.95;0.609
"2018-03";53.86;39516.249;52942.31;49242.114;37483.505;235.908;1.164
"2018-02";47.58;38939.15;62880.025;53907.143;35936.614;345.256;1.297
"2018-01";49.91;33131.46;53227.463;63016.446;36760.957;223.322;0.722
"2017-12";48.101;44751.79;61771.872;61686.813;37838.497;298.662;1.026
"2017-11";46.12;42599.283;53005.214;50782.044;36777.797;220.409;1.111
"2017-10";48.245;36128.501;32625.902;35492.389;39193.814;54.2;0.654
"2017-09";41.091;28267.613;22783.977;22441.832;38150.879;0;1
"2017-08";43.892;32155.915;15694.637;15504.158;36268.592;0;1
"2017-07";41.867;33668.541;17412.288;17691.974;36581.582;0;1
"2017-06";41.568;26584.919;16702.968;17641.999;36021.896;0;1
"2017-05";44.877;35390.085;23136.579;23955.912;37393.397;42.783;0.861
"2017-04";45.112;39831.676;31998.796;30963.973;34099.546;137.31;1.116
"2017-03";46.835;37339.76;43518.961;50657.544;38761.403;144.581;0.714
"2017-02";39.796;37385.264;50123.341;56287.685;38308.338;208.722;0.784
"2017-01";39.741;42000.267;72929.197;64223.188;37980.737;393.411;1.272
"2016-12";42.705;41571.899;63213.613;60829.495;36815.52;305.964;1.051
"2016-11";39.03;39938.662;52129.211;51629.108;37648.72;205.603;1.037
"2016-10";44.602;40891.762;37075.004;34056.084;37609.215;107.119;1.293
"2016-09";31.933;31200.174;20813.592;21614.275;37357.318;0;1
"2016-08";34.42;34579.02;15988.538;15899.779;36842.912;0;1
"2016-07";31.907;36590.797;17082.962;17341.068;36499.113;0;1
"2016-06";30.123;31451.144;18124.372;18353.276;36722.381;0;1
"2016-05";29.785;38875.246;22591.903;22226.278;35634.626;51.928;1.045
"2016-04";26.57;40535.864;34744.518;32315.36;35326.932;146.672;1.192
"2016-03";28.648;38390.276;51018.624;46114.681;34096.263;243.276;1.201
"2016-02";31.778;33142.082;50792.23;52267.648;34141.411;244.255;0.917
"2016-01";29.326;33780.186;56345.89;61317.157;35146.598;269.724;0.872
"2015-12";24.67;33325.716;46192.43;59400.48;35313.482;175.957;0.604
"2015-11";22.815;29484.765;41932.408;49042.025;35234.41;136.094;0.686
"2015-10";24.405;37315.922;35304.721;32277.15;35773.767;107.068;1.293
"2015-09";26.319;31380.808;19416.457;18668.818;34557.446;0;1
"2015-08";21.71;33034.787;13255.778;13571.366;34549.82;0;1
"2015-07";25.981;37594.607;15525.976;15335.901;34661.776;0;1
"2015-06";23.646;31381.922;16191.949;16551.768;34755.651;0;1
"2015-05";24.691;33432.492;20770.28;21208.473;34634.29;44.853;0.903
"2015-04";30.842;34792.949;29444.826;32355.388;35256.458;100.711;0.818
"2015-03";32.895;37372.445;47458.367;46994.032;34989.364;207.073;1.022
"2015-02";20.386;31617.239;57029.802;52952.793;34600.034;301.128;1.131
"2015-01";16.79;31491.546;59936.296;60009.107;33849.114;312.351;1.01
"2014-12";15.615;34524.34;55532.236;55915.634;31763.515;288.956;0.992
"2014-11";9.665;32396.038;39777.812;46737.109;33088.469;138.033;0.696
"2014-10";21.518;30627.033;25759.611;30058.65;33509.696;38.706;0.467
"2014-09";9.936;24935.572;17586.829;18118.462;34241.939;0;1
"2014-08";23.372;30240.843;14111.088;13884.28;34940.583;0;1
"2014-07";5.31;34013.767;15523.199;15338.584;34761.443;0;1
"2014-06";10.028;31581.559;16161.47;16816.652;34957.018;0;1
"2014-05";22.369;36339.607;22125.073;21267.52;34721.469;51.962;1.046
"2014-04";16.897;35047.567;26240.123;30911.806;33722.649;86.286;0.701
"2014-03";14.753;35264.492;41260.082;44543.167;32386.602;178.834;0.883
"2014-02";14.038;28654.046;46647.538;52334.42;33683.699;214.179;0.804
"2014-01";9.699;39304.907;52592.432;59955.798;33810.384;245.512;0.794
"2013-12";7.161;40353.574;57072.643;58185.67;34052.635;279.611;0.96
"2013-11";7.857;38537.675;50326.766;47582.767;34057.341;230.23;1.161
"2013-10";96.555;33224.93;27699.02;30815.018;34315.317;53.626;0.647
"2013-09";260.375;30663.604;18436.76;18706.848;35107.405;0;1
"2013-08";297.004;30658.735;13673.542;13809.909;34866.398;0;1
"2013-07";348.376;35333.667;15186.954;15025.109;34445.114;0;1
"2013-06";378.401;34855.833;17555.578;17069.98;35208.266;0;1
"2013-05";399.898;40861.061;27441.113;21289.529;34783.695;98.502;1.982
"2013-04";387.173;40407.846;36200.992;33261.264;36003.956;152.677;1.241
"2013-03";377.424;42124.454;56580.113;47697.405;35422.952;274.57;1.355
"2013-02";364.95;36197.065;61543.925;53978;35115.306;333.288;1.252
"2013-01";423.264;38818.766;64306.573;60722.993;34570.283;341.791;1.105
"2012-12";422.86;37335.33;57364.58;60525.833;36368.926;270.677;0.929
"2012-11";392.323;33826.68;48980.815;48943.832;35447.098;199.959;1.008
"2012-10";428.143;39585.87;31197.777;30636.837;34197.467;88.254;1.066
"2012-09";440.86;28590.12;18098.257;18097.797;34650.457;0;1
"2012-08";449.277;35596.35;14331.742;14310.994;35436.21;0;1
"2012-07";462.083;32489.37;16382.46;16386.616;35822.136;0;1
"2012-06";468.352;31080.24;17837.664;17756.398;35995.403;0;1
"2012-05";462.889;35488.62;22197.902;22316.699;35843.408;49;0.986
"2012-04";425.725;37182.6;36621.881;32843.426;35546.619;160.187;1.302
"2012-03";388.114;36920.25;44111.032;49640.039;37163.042;158.951;0.784
"2012-02";421.069;40260.06;72136.913;57201.979;38194.667;395.251;1.485
