"Groupe d'aliment","Sous-groupe d'aliment","Nom du Produit en Français","Changement climatique","Appauvrissement de la couche d'ozone","Rayonnements ionisants","Formation photochimique d'ozone","Particules fines","Effets toxicologiques sur la santé humaine : substances non-cancérogènes","Effets toxicologiques sur la santé humaine : substances cancérogènes","Acidification terrestre et eaux douces","Eutrophisation eaux douces","Eutrophisation marine","Eutrophisation terrestre","Écotoxicité pour écosystèmes aquatiques d'eau douce","Utilisation du sol","Épuisement des ressources eau","Épuisement des ressources énergétiques","Épuisement des ressources minéraux"
"aides culinaires et ingrédients divers","aides culinaires","Court-bouillon pour poissons, déshydraté",7.58,2.93e-7,30.3,0.025,4.74e-7,2.09e-7,6.62e-9,0.0456,0.00161,0.0268,0.137,70.2,106,3.38,700,0.0000514
"aides culinaires et ingrédients divers","aides culinaires","Pizza, sauce garniture pour",0.94,2.7e-8,0.558,0.00393,7.86e-8,4.24e-8,8.82e-10,0.00805,0.000193,0.00416,0.0303,11,67.7,2.47,24.4,0.00000591
"aides culinaires et ingrédients divers","aides culinaires","Préparation culinaire à base de soja, type ""crème de soja""",1.17,3.38e-8,0.545,0.00402,6.42e-8,2.66e-8,2.14e-9,0.00632,0.000357,0.00723,0.0244,30.8,116,0.422,22.4,0.00000396
"aides culinaires et ingrédients divers","algues","Agar (algue), cru",11.8,6.27e-7,11.2,0.0514,8.62e-7,9.85e-8,6.93e-9,0.111,0.00215,0.015,0.144,57.9,26.7,4.83,396,0.0000794
"aides culinaires et ingrédients divers","algues","Ao-nori (Enteromorpha sp.), séchée ou déshydratée",11.8,6.27e-7,11.2,0.0514,8.62e-7,9.85e-8,6.93e-9,0.111,0.00215,0.015,0.144,57.9,26.7,4.83,396,0.0000794
"aides culinaires et ingrédients divers","algues","Ascophylle noueux ou goémon noir (Ascophyllum nodosum), séché ou déshydraté",11.6,6.24e-7,11.2,0.0473,8.55e-7,9.77e-8,6.84e-9,0.105,0.00214,0.0137,0.128,56.6,26.4,4.83,393,0.0000791
"aides culinaires et ingrédients divers","algues","Dulse (Palmaria palmata), séchée ou déshydratée",11.6,6.24e-7,11.2,0.0473,8.55e-7,9.77e-8,6.84e-9,0.105,0.00214,0.0137,0.128,56.6,26.4,4.83,393,0.0000791
"aides culinaires et ingrédients divers","algues","Fucus vésiculeux (Fucus serratus ou Fucus vesiculosus), séché ou déshydraté",11.6,6.24e-7,11.2,0.0473,8.55e-7,9.77e-8,6.84e-9,0.105,0.00214,0.0137,0.128,56.6,26.4,4.83,393,0.0000791
"aides culinaires et ingrédients divers","algues","Gracilaire ou ogonori (Gracilaria verrucosa), séchée ou déshydratée",11.8,6.27e-7,11.2,0.0514,8.62e-7,9.85e-8,6.93e-9,0.111,0.00215,0.015,0.144,57.9,26.7,4.83,396,0.0000794
"aides culinaires et ingrédients divers","algues","Haricot de mer (Himanthalia elongata), séchée ou déshydratée",11.6,6.24e-7,11.2,0.0473,8.55e-7,9.77e-8,6.84e-9,0.105,0.00214,0.0137,0.128,56.6,26.4,4.83,393,0.0000791
