"Nom base français","Nom attribut français","Nom frontière français","Unité français","Total poste non décomposé","CO2f","CH4f","N2O","Autres GES","Localisation géographique","Date de création","Date de modification","Réglementations","Qualité","Commentaire français"
"""""""	Salade César au poulet (salade verte""""""","fromage, croûtos, sauce)",,"kgCO2e/kg de poids net",2.81,,,,,"France continentale","2021-03-04","2024-05-17",,,
"""""""Barre céréalière """"""""équilibre"""""""" aux fruits""""""","enrichie en vitamines et minéraux",,"kgCO2e/kg de poids net",2.46,,,,,"France continentale","2023-03-16","2024-05-17",,2.9,"Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation"
"""""""Barre céréalière """"""""équilibre"""""""" chocolatée""""""","enrichie en vitamines et minéraux",,"kgCO2e/kg de poids net",6.09,,,,,"France continentale","2023-03-16","2024-05-17",,2.8,"Livraison : Ambiant (long) - Matériau d'emballage : LDPE - Préparation : Pas de préparation"
"""""""Bière """"""""coeur de marché"""""""" (4-5° alcool)""""""",,,"kgCO2e/kg de poids net",1.12,,,,,"France continentale","2023-03-16","2024-05-17",,2.8,"Livraison : Glacé - Matériau d'emballage : Verre - Préparation : Réfrigéré chez le consommateur"
"""""""Bière """"""""de spécialités"""""""" ou d'abbaye""""""","régionales ou d'une brasserie (degré d'alcool variable)",,"kgCO2e/kg de poids net",1.12,,,,,"France continentale","2023-03-16","2024-05-17",,3.1,"Livraison : Glacé - Matériau d'emballage : Verre - Préparation : Réfrigéré chez le consommateur"
"""""""Bière """"""""spéciale"""""""" (5-6° alcool)""""""",,,"kgCO2e/kg de poids net",1.12,,,,,"France continentale","2023-03-16","2024-05-17",,3.1,"Livraison : Glacé - Matériau d'emballage : Verre - Préparation : Réfrigéré chez le consommateur"
"""""""Brioche fourrée crème pâtissière (type """"""""chinois"""""""")""""""","préemballée",,"kgCO2e/kg de poids net",3.83,,,,,"France continentale","2021-03-04","2024-05-17",,,
"""""""Brioche fourrée crème pâtissière (type """"""""chinois"""""""")""""""","préemballée",,"kgCO2e/kg de poids net",2.71,,,,,"France continentale","2023-03-16","2024-05-17",,2.1,"Livraison : Ambiant (court) - Matériau d'emballage : LDPE - Préparation : Pas de préparation"
"""""""Céréales pour petit déjeuner """"""""équilibre"""""""" au chocolat (non enrichies en vitamines et minérau",,,"kgCO2e/kg de poids net",3.4,,,,,"France continentale","2023-03-16","2024-05-17",,3.7,"Livraison : Ambiant (long) - Matériau d'emballage : Carton - Préparation : Pas de préparation"
"""""""Céréales pour petit déjeuner """"""""équilibre"""""""" au chocolat""""""","enrichies en vitamines et minéraux",,"kgCO2e/kg de poids net",3.4,,,,,"France continentale","2023-03-16","2024-05-17",,3.7,"Livraison : Ambiant (long) - Matériau d'emballage : Carton - Préparation : Pas de préparation"
